danceability,energy,tempo,loudness,valence,track_name,artist_name,genre,Cluster,Mood
0.629,0.947,110.995,-4.608,0.695,"Manuel Santillán, el León - En Vivo en Theater at Madison Square Garden",Los Fabulosos Cadillacs,Ska,0,🎉 Party / Happy
0.681,0.478,115.002,-13.959,0.846,Buttons,Sia,Dance,0,🎉 Party / Happy
0.461,0.727,138.042,-6.346,0.551,Coconut Oil,Lizzo,Dance,2,🎸 Energetic / Hype
0.83,0.722,97.867,-6.043,0.623,Money In The Bank,Swizz Beatz,R&B,0,🎉 Party / Happy
0.442,0.652,75.576,-8.636,0.18,Ferrari,The Neighbourhood,Alternative,3,😌 Chill / Neutral
0.328,0.826,106.606,-5.085,0.341,Mudshovel,Staind,Rock,3,😌 Chill / Neutral
0.422,0.0105,65.099,-32.46,0.101,"Intermezzo, Op. 119/1",Johannes Brahms,Classical,1,😢 Sad / Acoustic
0.755,0.591,177.771,-8.103,0.96,Listo,Los Cafres,Reggae,0,🎉 Party / Happy
0.242,0.285,81.401,-16.697,0.0524,Cornish Pixies,John Williams,Soundtrack,1,😢 Sad / Acoustic
0.451,0.0379,45.17,-18.555,0.439,Early in the Morning - Remastered,Harry Nilsson,Folk,1,😢 Sad / Acoustic
0.827,0.477,119.807,-5.025,0.599,Mad,Solange,Soul,0,🎉 Party / Happy
0.604,0.098,119.609,-20.877,0.14,Station (2014),Låpsley,R&B,1,😢 Sad / Acoustic
0.818,0.803,106.97,-4.282,0.632,24K Magic,Bruno Mars,Pop,0,🎉 Party / Happy
0.846,0.659,107.014,-6.888,0.622,Wild Wild West - Album Version - No Intro,Will Smith,Rap,0,🎉 Party / Happy
0.472,0.774,179.942,-5.383,0.443,Monster,Imagine Dragons,Rock,2,🎸 Energetic / Hype
0.528,0.117,95.222,-17.237,0.559,Mother's Lament,Cream,Blues,1,😢 Sad / Acoustic
0.903,0.602,99.01,-5.429,0.529,Twist My Fingaz,YG,Hip-Hop,0,🎉 Party / Happy
0.569,0.464,84.565,-8.27,0.321,Young Blood,Noah Kahan,Pop,3,😌 Chill / Neutral
0.542,0.135,155.778,-17.155,0.155,When We're Fire (Cello Version),Lo-Fang,R&B,1,😢 Sad / Acoustic
0.39,0.399,141.922,-15.51,0.324,Ernani / Part 1: Evviva! Beviam!,Giuseppe Verdi,Opera,3,😌 Chill / Neutral
0.746,0.633,98.028,-6.028,0.77,F**k With U,Pia Mia,Dance,0,🎉 Party / Happy
0.632,0.519,77.493,-6.051,0.367,My First Love,Anthony Hamilton,Soul,3,😌 Chill / Neutral
0.604,0.0578,96.898,-16.961,0.182,Only One,The Paper Kites,Folk,1,😢 Sad / Acoustic
0.529,0.163,71.139,-19.255,0.354,"Roméo et Juliette / Act 1: ""Quelqu'un!...C'est mon cousin Tybalt!""",Charles Gounod,Opera,1,😢 Sad / Acoustic
0.291,0.115,131.79,-19.789,0.219,Sous la pluie,Bruno Coulais,Soundtrack,1,😢 Sad / Acoustic
0.642,0.442,148.01,-9.115,0.465,Me Dediqué a Perderte,Alejandro Fernandez,Pop,2,🎸 Energetic / Hype
0.418,0.112,79.61,-21.113,0.296,"Così fan tutte, K. 588: Sorella, cosa dici? - Prenderò quel brunettino",Wolfgang Amadeus Mozart,Classical,1,😢 Sad / Acoustic
0.279,0.953,193.366,-1.572,0.513,Easter,ASIAN KUNG-FU GENERATION,Anime,2,🎸 Energetic / Hype
0.52,0.812,153.821,-5.229,0.607,Do You Want It All?,Two Door Cinema Club,Alternative,2,🎸 Energetic / Hype
0.587,0.876,154.86,-5.614,0.889,Weekend Superstar,John Michael Montgomery,Country,2,🎸 Energetic / Hype
0.416,0.774,130.122,-6.194,0.517,"Elastic Heart - From ""The Hunger Games: Catching Fire"" Soundtrack",Sia,Dance,2,🎸 Energetic / Hype
0.41,0.832,182.205,-8.378,0.88,Taking Care Of Business,Vic Ruggiero,Ska,2,🎸 Energetic / Hype
0.424,0.861,73.084,-6.001,0.384,Intro / Riot,Dane Cook,Comedy,3,😌 Chill / Neutral
0.568,0.831,132.0,-6.14,0.51,L'Adversaire,Emmanuel Moire,Movie,2,🎸 Energetic / Hype
0.642,0.438,111.575,-10.786,0.805,Grandma Got Run Over By A Reindeer,The Hit Crew Kids,Children's Music,0,🎉 Party / Happy
0.627,0.82,143.957,-5.653,0.557,Underneath It All - The Voice Performance,Tessanne Chin,Reggae,2,🎸 Energetic / Hype
0.338,0.127,151.584,-17.421,0.259,Sinfonia in E-Flat Major,Gioachino Rossini,Opera,1,😢 Sad / Acoustic
0.8,0.474,141.989,-9.304,0.348,Fucc It Up,Roddy Ricch,Rap,3,😌 Chill / Neutral
0.636,0.826,87.665,-4.668,0.679,Teenage Love Affair,Alicia Keys,Soul,0,🎉 Party / Happy
0.639,0.657,67.38,-13.496,0.696,Moby And The Japs,Andrew Dice Clay,Comedy,0,🎉 Party / Happy
0.285,0.666,144.016,-7.24,0.204,Feel It (feat. CXLOE & Khamsin),KRANE,Electronic,2,🎸 Energetic / Hype
